taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 37068 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 35667 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 39709 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 39617 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 37920 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 25783 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 30871 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 24569 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 31084 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 11713 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 15875 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 21436 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 37146 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 37492 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 22690 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 31845 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 36705 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 38307 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 32833 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 19882 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 25103 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 18595 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 26082 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 19883 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 28856 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 33732 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 37239 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 35371 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 29055 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 28682 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 28675 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 17099 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 22227 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 25887 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 17156 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 15849 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 11439 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 14444 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 31423 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 24414 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 33812 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 36846 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 17955 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 21200 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 23664 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 27624 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 29148 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 26178 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 22062 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 28362 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 23370 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 12587 -- 0 -- 4000 -- 500 -- 0
