taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 2961 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 3995 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 1508 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 3782 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 1398 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 3079 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 2768 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 1101 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 1118 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 2701 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 1955 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 1319 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 1673 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 3455 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 2893 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 1072 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 2459 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 3644 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 1106 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 3321 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 2790 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 2333 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 1521 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 3495 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 1870 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 2919 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 1947 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 2557 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 3393 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 3626 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 3300 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 3359 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 3552 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 2649 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 3455 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 3280 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 3845 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 3834 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 3311 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 1780 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 3183 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 1529 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 2466 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 3823 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 1372 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 1024 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 3350 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 1065 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 1964 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 1483 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 1509 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 3316 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 2207 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 3956 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 2248 -- 0 -- 4000 -- 500 -- 0
56 -- 4 -- 3896 -- 0 -- 4000 -- 500 -- 0
57 -- 4 -- 1973 -- 0 -- 4000 -- 500 -- 0
58 -- 4 -- 2315 -- 0 -- 4000 -- 500 -- 0
59 -- 4 -- 2765 -- 0 -- 4000 -- 500 -- 0
60 -- 4 -- 2612 -- 0 -- 4000 -- 500 -- 0
61 -- 4 -- 1201 -- 0 -- 4000 -- 500 -- 0
62 -- 4 -- 1640 -- 0 -- 4000 -- 500 -- 0
63 -- 4 -- 2145 -- 0 -- 4000 -- 500 -- 0
64 -- 4 -- 1021 -- 0 -- 4000 -- 500 -- 0
65 -- 4 -- 2289 -- 0 -- 4000 -- 500 -- 0
66 -- 4 -- 3308 -- 0 -- 4000 -- 500 -- 0
67 -- 4 -- 3460 -- 0 -- 4000 -- 500 -- 0
68 -- 4 -- 2855 -- 0 -- 4000 -- 500 -- 0
69 -- 4 -- 3808 -- 0 -- 4000 -- 500 -- 0
70 -- 4 -- 1155 -- 0 -- 4000 -- 500 -- 0
71 -- 4 -- 1539 -- 0 -- 4000 -- 500 -- 0
72 -- 4 -- 3430 -- 0 -- 4000 -- 500 -- 0
73 -- 4 -- 1273 -- 0 -- 4000 -- 500 -- 0
74 -- 4 -- 1480 -- 0 -- 4000 -- 500 -- 0
75 -- 4 -- 2724 -- 0 -- 4000 -- 500 -- 0
76 -- 4 -- 3192 -- 0 -- 4000 -- 500 -- 0
77 -- 4 -- 1408 -- 0 -- 4000 -- 500 -- 0
78 -- 4 -- 3882 -- 0 -- 4000 -- 500 -- 0
79 -- 4 -- 3750 -- 0 -- 4000 -- 500 -- 0
80 -- 4 -- 1626 -- 0 -- 4000 -- 500 -- 0
81 -- 4 -- 1423 -- 0 -- 4000 -- 500 -- 0
82 -- 4 -- 3161 -- 0 -- 4000 -- 500 -- 0
83 -- 4 -- 3682 -- 0 -- 4000 -- 500 -- 0
84 -- 4 -- 3104 -- 0 -- 4000 -- 500 -- 0
85 -- 4 -- 3290 -- 0 -- 4000 -- 500 -- 0
86 -- 4 -- 2140 -- 0 -- 4000 -- 500 -- 0
87 -- 4 -- 3808 -- 0 -- 4000 -- 500 -- 0
88 -- 4 -- 2815 -- 0 -- 4000 -- 500 -- 0
89 -- 4 -- 1402 -- 0 -- 4000 -- 500 -- 0
90 -- 4 -- 2636 -- 0 -- 4000 -- 500 -- 0
91 -- 4 -- 2170 -- 0 -- 4000 -- 500 -- 0
92 -- 4 -- 2944 -- 0 -- 4000 -- 500 -- 0
93 -- 4 -- 1596 -- 0 -- 4000 -- 500 -- 0
94 -- 4 -- 2493 -- 0 -- 4000 -- 500 -- 0
95 -- 4 -- 3655 -- 0 -- 4000 -- 500 -- 0
96 -- 4 -- 1633 -- 0 -- 4000 -- 500 -- 0
97 -- 4 -- 2832 -- 0 -- 4000 -- 500 -- 0
98 -- 4 -- 1583 -- 0 -- 4000 -- 500 -- 0
99 -- 4 -- 1637 -- 0 -- 4000 -- 500 -- 0
100 -- 4 -- 1541 -- 0 -- 4000 -- 500 -- 0
101 -- 4 -- 2176 -- 0 -- 4000 -- 500 -- 0
102 -- 4 -- 1292 -- 0 -- 4000 -- 500 -- 0
103 -- 4 -- 1573 -- 0 -- 4000 -- 500 -- 0
104 -- 4 -- 1726 -- 0 -- 4000 -- 500 -- 0
105 -- 4 -- 2655 -- 0 -- 4000 -- 500 -- 0
106 -- 4 -- 3242 -- 0 -- 4000 -- 500 -- 0
107 -- 4 -- 3007 -- 0 -- 4000 -- 500 -- 0
108 -- 4 -- 2465 -- 0 -- 4000 -- 500 -- 0
109 -- 4 -- 2331 -- 0 -- 4000 -- 500 -- 0
110 -- 4 -- 3092 -- 0 -- 4000 -- 500 -- 0
111 -- 4 -- 1158 -- 0 -- 4000 -- 500 -- 0
112 -- 4 -- 2247 -- 0 -- 4000 -- 500 -- 0
113 -- 4 -- 1118 -- 0 -- 4000 -- 500 -- 0
114 -- 4 -- 1090 -- 0 -- 4000 -- 500 -- 0
115 -- 4 -- 1416 -- 0 -- 4000 -- 500 -- 0
116 -- 4 -- 2062 -- 0 -- 4000 -- 500 -- 0
117 -- 4 -- 2536 -- 0 -- 4000 -- 500 -- 0
118 -- 4 -- 2815 -- 0 -- 4000 -- 500 -- 0
119 -- 4 -- 1423 -- 0 -- 4000 -- 500 -- 0
120 -- 4 -- 2611 -- 0 -- 4000 -- 500 -- 0
121 -- 4 -- 3770 -- 0 -- 4000 -- 500 -- 0
122 -- 4 -- 1784 -- 0 -- 4000 -- 500 -- 0
123 -- 4 -- 2547 -- 0 -- 4000 -- 500 -- 0
124 -- 4 -- 1301 -- 0 -- 4000 -- 500 -- 0
125 -- 4 -- 2443 -- 0 -- 4000 -- 500 -- 0
126 -- 4 -- 3485 -- 0 -- 4000 -- 500 -- 0
127 -- 4 -- 3512 -- 0 -- 4000 -- 500 -- 0
128 -- 4 -- 1133 -- 0 -- 4000 -- 500 -- 0
129 -- 4 -- 2829 -- 0 -- 4000 -- 500 -- 0
130 -- 4 -- 1934 -- 0 -- 4000 -- 500 -- 0
131 -- 4 -- 1593 -- 0 -- 4000 -- 500 -- 0
132 -- 4 -- 2634 -- 0 -- 4000 -- 500 -- 0
133 -- 4 -- 3261 -- 0 -- 4000 -- 500 -- 0
134 -- 4 -- 1550 -- 0 -- 4000 -- 500 -- 0
135 -- 4 -- 1972 -- 0 -- 4000 -- 500 -- 0
136 -- 4 -- 3098 -- 0 -- 4000 -- 500 -- 0
137 -- 4 -- 1831 -- 0 -- 4000 -- 500 -- 0
138 -- 4 -- 1733 -- 0 -- 4000 -- 500 -- 0
139 -- 4 -- 2788 -- 0 -- 4000 -- 500 -- 0
140 -- 4 -- 2051 -- 0 -- 4000 -- 500 -- 0
141 -- 4 -- 3626 -- 0 -- 4000 -- 500 -- 0
142 -- 4 -- 3461 -- 0 -- 4000 -- 500 -- 0
143 -- 4 -- 1093 -- 0 -- 4000 -- 500 -- 0
144 -- 4 -- 3258 -- 0 -- 4000 -- 500 -- 0
145 -- 4 -- 2096 -- 0 -- 4000 -- 500 -- 0
146 -- 4 -- 1512 -- 0 -- 4000 -- 500 -- 0
147 -- 4 -- 1225 -- 0 -- 4000 -- 500 -- 0
148 -- 4 -- 1378 -- 0 -- 4000 -- 500 -- 0
149 -- 4 -- 3656 -- 0 -- 4000 -- 500 -- 0
150 -- 4 -- 2462 -- 0 -- 4000 -- 500 -- 0
151 -- 4 -- 3126 -- 0 -- 4000 -- 500 -- 0
152 -- 4 -- 3273 -- 0 -- 4000 -- 500 -- 0
153 -- 4 -- 1078 -- 0 -- 4000 -- 500 -- 0
154 -- 4 -- 2739 -- 0 -- 4000 -- 500 -- 0
155 -- 4 -- 2266 -- 0 -- 4000 -- 500 -- 0
156 -- 4 -- 3525 -- 0 -- 4000 -- 500 -- 0
157 -- 4 -- 1256 -- 0 -- 4000 -- 500 -- 0
158 -- 4 -- 1364 -- 0 -- 4000 -- 500 -- 0
159 -- 4 -- 2940 -- 0 -- 4000 -- 500 -- 0
160 -- 4 -- 2861 -- 0 -- 4000 -- 500 -- 0
161 -- 4 -- 1130 -- 0 -- 4000 -- 500 -- 0
162 -- 4 -- 2469 -- 0 -- 4000 -- 500 -- 0
163 -- 4 -- 3063 -- 0 -- 4000 -- 500 -- 0
164 -- 4 -- 3553 -- 0 -- 4000 -- 500 -- 0
165 -- 4 -- 2279 -- 0 -- 4000 -- 500 -- 0
166 -- 4 -- 3495 -- 0 -- 4000 -- 500 -- 0
167 -- 4 -- 2782 -- 0 -- 4000 -- 500 -- 0
168 -- 4 -- 2822 -- 0 -- 4000 -- 500 -- 0
169 -- 4 -- 3044 -- 0 -- 4000 -- 500 -- 0
170 -- 4 -- 1696 -- 0 -- 4000 -- 500 -- 0
171 -- 4 -- 1640 -- 0 -- 4000 -- 500 -- 0
172 -- 4 -- 3304 -- 0 -- 4000 -- 500 -- 0
173 -- 4 -- 2752 -- 0 -- 4000 -- 500 -- 0
174 -- 4 -- 3697 -- 0 -- 4000 -- 500 -- 0
175 -- 4 -- 3517 -- 0 -- 4000 -- 500 -- 0
176 -- 4 -- 2478 -- 0 -- 4000 -- 500 -- 0
177 -- 4 -- 3478 -- 0 -- 4000 -- 500 -- 0
178 -- 4 -- 3995 -- 0 -- 4000 -- 500 -- 0
179 -- 4 -- 3795 -- 0 -- 4000 -- 500 -- 0
180 -- 4 -- 1611 -- 0 -- 4000 -- 500 -- 0
181 -- 4 -- 2502 -- 0 -- 4000 -- 500 -- 0
182 -- 4 -- 2376 -- 0 -- 4000 -- 500 -- 0
183 -- 4 -- 1404 -- 0 -- 4000 -- 500 -- 0
184 -- 4 -- 3125 -- 0 -- 4000 -- 500 -- 0
185 -- 4 -- 3140 -- 0 -- 4000 -- 500 -- 0
186 -- 4 -- 2154 -- 0 -- 4000 -- 500 -- 0
187 -- 4 -- 1560 -- 0 -- 4000 -- 500 -- 0
188 -- 4 -- 2446 -- 0 -- 4000 -- 500 -- 0
189 -- 4 -- 1786 -- 0 -- 4000 -- 500 -- 0
190 -- 4 -- 2265 -- 0 -- 4000 -- 500 -- 0
191 -- 4 -- 3301 -- 0 -- 4000 -- 500 -- 0
192 -- 4 -- 2924 -- 0 -- 4000 -- 500 -- 0
193 -- 4 -- 1840 -- 0 -- 4000 -- 500 -- 0
194 -- 4 -- 1244 -- 0 -- 4000 -- 500 -- 0
